size: 1148, time: 0.023736 s, speed: 127.481782 GFlops
size: 1152, time: 0.027578 s, speed: 110.873205 GFlops
size: 1156, time: 0.030737 s, speed: 100.517830 GFlops
size: 1160, time: 0.026468 s, speed: 117.945725 GFlops
size: 1164, time: 0.030935 s, speed: 101.961949 GFlops
size: 1168, time: 0.025568 s, speed: 124.641200 GFlops
size: 1172, time: 0.028118 s, speed: 114.506469 GFlops
size: 1176, time: 0.027250 s, speed: 119.368142 GFlops
size: 1180, time: 0.028236 s, speed: 116.378885 GFlops
size: 1184, time: 0.030147 s, speed: 110.114205 GFlops
size: 1188, time: 0.028243 s, speed: 118.731921 GFlops
size: 1192, time: 0.033048 s, speed: 102.497838 GFlops
size: 1196, time: 0.029783 s, speed: 114.882781 GFlops
size: 1200, time: 0.030009 s, speed: 115.165330 GFlops
size: 1204, time: 0.030133 s, speed: 115.842242 GFlops
size: 1208, time: 0.034769 s, speed: 101.400676 GFlops
size: 1212, time: 0.032877 s, speed: 108.304398 GFlops
size: 1216, time: 0.032542 s, speed: 110.506191 GFlops
size: 1220, time: 0.033434 s, speed: 108.623118 GFlops
size: 1224, time: 0.030610 s, speed: 119.814594 GFlops
size: 1228, time: 0.031423 s, speed: 117.863539 GFlops
size: 1232, time: 0.031462 s, speed: 118.870239 GFlops
size: 1236, time: 0.033905 s, speed: 111.383609 GFlops
size: 1240, time: 0.032309 s, speed: 118.024125 GFlops
size: 1244, time: 0.032592 s, speed: 118.135208 GFlops
size: 1248, time: 0.032716 s, speed: 118.826437 GFlops
size: 1252, time: 0.034109 s, speed: 115.073563 GFlops
size: 1256, time: 0.033233 s, speed: 119.241437 GFlops
size: 1260, time: 0.035435 s, speed: 112.904088 GFlops
size: 1264, time: 0.036561 s, speed: 110.472201 GFlops
size: 1268, time: 0.033013 s, speed: 123.509788 GFlops
size: 1272, time: 0.034589 s, speed: 119.001564 GFlops
size: 1276, time: 0.037679 s, speed: 110.276544 GFlops
size: 1280, time: 0.056030 s, speed: 74.858136 GFlops
size: 1284, time: 0.035068 s, speed: 120.729564 GFlops
size: 1288, time: 0.035749 s, speed: 119.540258 GFlops
size: 1292, time: 0.035961 s, speed: 119.946293 GFlops
size: 1296, time: 0.032837 s, speed: 132.580457 GFlops
size: 1300, time: 0.040090 s, speed: 109.603163 GFlops
size: 1304, time: 0.035674 s, speed: 124.311900 GFlops
size: 1308, time: 0.036129 s, speed: 123.878892 GFlops
size: 1312, time: 0.037933 s, speed: 119.072929 GFlops
size: 1316, time: 0.038395 s, speed: 118.719978 GFlops
size: 1320, time: 0.038716 s, speed: 118.812767 GFlops
size: 1324, time: 0.037406 s, speed: 124.094649 GFlops
size: 1328, time: 0.038263 s, speed: 122.417714 GFlops
size: 1332, time: 0.041496 s, speed: 113.903228 GFlops
size: 1336, time: 0.041836 s, speed: 113.998457 GFlops
size: 1340, time: 0.037510 s, speed: 128.291615 GFlops
size: 1344, time: 0.039713 s, speed: 122.262572 GFlops
size: 1348, time: 0.043190 s, speed: 113.426999 GFlops
size: 1352, time: 0.038020 s, speed: 130.001736 GFlops
size: 1356, time: 0.039176 s, speed: 127.288484 GFlops
size: 1360, time: 0.040512 s, speed: 124.182994 GFlops
size: 1364, time: 0.039633 s, speed: 128.061440 GFlops
size: 1368, time: 0.042138 s, speed: 121.511057 GFlops
size: 1372, time: 0.041219 s, speed: 125.312652 GFlops
size: 1376, time: 0.040778 s, speed: 127.778466 GFlops
size: 1380, time: 0.040691 s, speed: 129.172472 GFlops
size: 1384, time: 0.041820 s, speed: 126.780869 GFlops
size: 1388, time: 0.040791 s, speed: 131.109352 GFlops
size: 1392, time: 0.043035 s, speed: 125.350361 GFlops
size: 1396, time: 0.046670 s, speed: 116.586650 GFlops
size: 1400, time: 0.044116 s, speed: 124.399254 GFlops
size: 1404, time: 0.042059 s, speed: 131.605169 GFlops
size: 1408, time: 0.045441 s, speed: 122.854458 GFlops
size: 1412, time: 0.147851 s, speed: 38.081132 GFlops
size: 1416, time: 0.042343 s, speed: 134.103201 GFlops
size: 1420, time: 0.045630 s, speed: 125.500301 GFlops
size: 1424, time: 0.042671 s, speed: 135.340413 GFlops
size: 1428, time: 0.041489 s, speed: 140.372762 GFlops
size: 1432, time: 0.044558 s, speed: 131.805305 GFlops
size: 1436, time: 0.047449 s, speed: 124.815180 GFlops
size: 1440, time: 0.140649 s, speed: 42.460057 GFlops
size: 1444, time: 0.045911 s, speed: 131.164522 GFlops
size: 1448, time: 0.045174 s, speed: 134.414451 GFlops
size: 1452, time: 0.044158 s, speed: 138.650241 GFlops
size: 1456, time: 0.049497 s, speed: 124.719432 GFlops
size: 1460, time: 0.062552 s, speed: 99.505603 GFlops
size: 1464, time: 0.046200 s, speed: 135.834755 GFlops
size: 1468, time: 0.047660 s, speed: 132.755677 GFlops
size: 1472, time: 0.046407 s, speed: 137.458018 GFlops
size: 1476, time: 0.047000 s, speed: 136.833314 GFlops
size: 1480, time: 0.047085 s, speed: 137.699428 GFlops
size: 1484, time: 0.048286 s, speed: 135.366381 GFlops
size: 1488, time: 0.047476 s, speed: 138.791919 GFlops
size: 1492, time: 0.048910 s, speed: 135.811814 GFlops
