size: 1840, time: 0.032800 s, speed: 379.848278 GFlops
size: 1844, time: 0.039705 s, speed: 315.841895 GFlops
size: 1848, time: 0.038510 s, speed: 327.764134 GFlops
size: 1852, time: 0.039803 s, speed: 319.180852 GFlops
size: 1856, time: 0.033802 s, speed: 378.286721 GFlops
size: 1860, time: 0.038244 s, speed: 336.515766 GFlops
size: 1864, time: 0.038497 s, speed: 336.465979 GFlops
size: 1868, time: 0.039996 s, speed: 325.945540 GFlops
size: 1872, time: 0.036681 s, speed: 357.690256 GFlops
size: 1876, time: 0.039374 s, speed: 335.364983 GFlops
size: 1880, time: 0.038768 s, speed: 342.791112 GFlops
size: 1884, time: 0.040091 s, speed: 333.599501 GFlops
size: 1888, time: 0.034079 s, speed: 394.958266 GFlops
size: 1892, time: 0.039070 s, speed: 346.697885 GFlops
size: 1896, time: 0.040697 s, speed: 334.953175 GFlops
size: 1900, time: 0.038195 s, speed: 359.157947 GFlops
size: 1904, time: 0.036003 s, speed: 383.434138 GFlops
size: 1908, time: 0.039943 s, speed: 347.796050 GFlops
size: 1912, time: 0.042132 s, speed: 331.802878 GFlops
size: 1916, time: 0.042563 s, speed: 330.510051 GFlops
size: 1920, time: 0.037659 s, speed: 375.894272 GFlops
size: 1924, time: 0.042423 s, speed: 335.771415 GFlops
size: 1928, time: 0.059576 s, speed: 240.591063 GFlops
size: 1932, time: 0.042716 s, speed: 337.645151 GFlops
size: 1936, time: 0.038144 s, speed: 380.470741 GFlops
size: 1940, time: 0.042945 s, speed: 340.033023 GFlops
size: 1944, time: 0.042392 s, speed: 346.604912 GFlops
size: 1948, time: 0.042628 s, speed: 346.817807 GFlops
size: 1952, time: 0.037880 s, speed: 392.696812 GFlops
size: 1956, time: 0.040829 s, speed: 366.577556 GFlops
size: 1960, time: 0.046855 s, speed: 321.397519 GFlops
size: 1964, time: 0.046916 s, speed: 322.948591 GFlops
size: 1968, time: 0.042336 s, speed: 360.077171 GFlops
size: 1972, time: 0.046864 s, speed: 327.273672 GFlops
size: 1976, time: 0.049070 s, speed: 314.466001 GFlops
size: 1980, time: 0.045892 s, speed: 338.289548 GFlops
size: 1984, time: 0.042132 s, speed: 370.718233 GFlops
size: 1988, time: 0.051068 s, speed: 307.701570 GFlops
size: 1992, time: 0.046610 s, speed: 339.172027 GFlops
size: 1996, time: 0.044486 s, speed: 357.509677 GFlops
size: 2000, time: 0.042686 s, speed: 374.830282 GFlops
size: 2004, time: 0.045533 s, speed: 353.504676 GFlops
size: 2008, time: 0.045967 s, speed: 352.270478 GFlops
size: 2012, time: 0.046254 s, speed: 352.178748 GFlops
size: 2016, time: 0.040351 s, speed: 406.114226 GFlops
